iter	Passed	Remaining
0	146	146721
1	147	73624
2	148	49208
3	148	36984
4	148	29644
5	149	24749
6	149	21256
7	150	18633
8	150	16594
9	151	14963
10	151	13629
11	152	12516
12	152	11574
13	152	10767
14	153	10079
15	154	9475
16	154	8939
17	155	8461
18	155	8031
19	155	7642
20	156	7291
21	156	6972
22	157	6681
23	157	6413
24	158	6167
25	158	5939
26	158	5728
27	159	5532
28	159	5350
29	160	5180
30	160	5021
31	161	4871
32	161	4731
33	161	4600
34	162	4475
35	162	4358
36	163	4246
37	163	4141
38	164	4041
39	164	3946
40	164	3856
41	165	3770
42	165	3688
43	166	3609
44	166	3534
45	166	3462
46	167	3396
47	168	3334
48	168	3273
49	169	3214
50	169	3157
51	170	3101
52	170	3047
53	170	2994
54	171	2944
55	171	2895
56	172	2848
57	172	2803
58	173	2760
59	173	2717
60	173	2676
61	174	2637
62	174	2599
63	175	2561
64	175	2525
65	176	2491
66	176	2457
67	176	2424
68	177	2392
69	177	2361
70	178	2330
71	178	2301
72	178	2272
73	179	2244
74	179	2217
75	180	2190
76	180	2164
77	181	2139
78	181	2114
79	181	2090
80	182	2068
81	182	2046
82	183	2023
83	183	2003
84	184	1984
85	184	1963
86	185	1943
87	185	1924
88	186	1905
89	186	1886
90	186	1867
91	187	1849
92	187	1831
93	188	1814
94	188	1796
95	189	1780
96	189	1763
97	189	1748
98	190	1732
99	190	1716
100	191	1701
101	191	1686
102	192	1672
103	192	1657
104	192	1643
105	193	1629
106	193	1616
107	194	1603
108	194	1590
109	194	1577
110	195	1564
111	195	1552
112	196	1540
113	196	1528
114	197	1516
115	197	1506
116	198	1495
117	198	1485
118	199	1474
119	199	1463
120	200	1453
121	200	1442
122	200	1432
123	201	1421
124	201	1411
125	202	1401
126	202	1391
127	202	1381
128	203	1372
129	203	1363
130	204	1354
131	204	1344
132	204	1336
133	205	1327
134	205	1318
135	206	1309
136	206	1301
137	207	1293
138	207	1284
139	207	1276
140	208	1268
141	208	1260
142	208	1252
143	209	1244
144	209	1237
145	210	1229
146	210	1222
147	211	1214
148	211	1207
149	211	1200
150	212	1193
151	212	1187
152	213	1181
153	213	1174
154	214	1168
155	214	1162
156	215	1155
157	215	1149
158	216	1142
159	216	1136
160	216	1129
161	217	1123
162	217	1117
163	217	1111
164	218	1105
165	218	1099
166	219	1093
167	219	1087
168	220	1082
169	220	1076
170	220	1071
171	221	1065
172	221	1060
173	222	1054
174	222	1049
175	223	1044
176	223	1039
177	223	1033
178	224	1028
179	224	1023
180	225	1018
181	225	1013
182	225	1008
183	226	1003
184	226	999
185	227	994
186	227	990
187	228	986
188	228	981
189	229	977
190	229	973
191	230	968
192	230	964
193	231	959
194	231	955
195	231	951
196	232	946
197	232	942
198	233	938
199	233	934
200	233	930
201	234	925
202	234	921
203	235	917
204	235	913
205	236	909
206	236	905
207	236	901
208	237	897
209	237	894
210	238	890
211	238	886
212	238	882
213	239	879
214	239	875
215	240	871
216	240	868
217	240	864
218	241	860
219	241	857
220	242	853
221	242	850
222	243	847
223	243	844
224	244	841
225	244	838
226	245	834
227	245	831
228	246	828
229	246	825
230	246	821
231	247	818
232	247	815
233	248	812
234	248	809
235	248	806
236	249	802
237	249	799
238	250	796
239	250	793
240	251	790
241	251	787
242	251	784
243	252	781
244	252	778
245	253	775
246	253	772
247	253	770
248	254	767
249	254	764
250	255	761
251	255	759
252	256	756
253	256	753
254	256	750
255	257	747
256	257	745
257	258	742
258	258	740
259	259	738
260	259	735
261	260	733
262	260	731
263	261	729
264	261	726
265	262	724
266	262	721
267	263	719
268	263	716
269	264	714
270	264	711
271	264	709
272	265	706
273	265	704
274	266	701
275	266	699
276	267	697
277	267	694
278	267	692
279	268	690
280	268	687
281	269	685
282	269	683
283	270	680
284	270	678
285	270	676
286	271	673
287	271	671
288	272	669
289	272	667
290	272	664
291	273	663
292	274	661
293	274	659
294	275	657
295	275	655
296	276	653
297	276	651
298	276	649
